Original Attribute Name,Original Attribute Type,Original Attribute Definition,Parent Elements,NIEM Equivalent/Refined Attribute Name,NIEM Equivalent/Refined Attribute Type,NIEM Equivalent/ Refined Attribute Definition,Status,Comments
hybrid,string,"An airframe that combines properties of any or all of fixed-wing, rotary, and inflated envelope. Examples include tilt-rotor or tilt-wings",airframe,HybridAircraftDescriptionText,nc : TextType,"A description of an airframe that combines properties of any or all of fixed-wing, rotary, and inflated envelope. Examples include tilt-rotor or tilt-wings.",Initial refinement completed. Pending Tiger Team review.,
uaMaterialComposition,string,Kind of material(s) used to construct the components of a UxS,airframe,UxSMaterialCompositionText,nc : TextType,Kind of material(s) used to construct the components of a UxS.,Initial refinement completed. Pending Tiger Team review.,
flightControlSystem,object,System intended to orient and direct a UA,technicalCategorization,FlightControlSystem,FlightControlSystemType,A system intended to orient and direct a UAS.,Initial refinement completed. Pending Tiger Team review.,
flightController,object,"Uses various sensors on board the UA to determine a degree of factors, such as position, orientation, altitude, airspeed and obstacle avoidance",flightControlSystem,FlightController,FlightControllerType,"A part of a UAS Control System that uses various sensors on board to determine a degree of factors, such as position, orientation, altitude, airspeed and obstacle avoidance.",Initial refinement completed. Pending Tiger Team review.,
controllerArchitecture,string,"Flight controller architecture type, such as open or proprietary",flightController,FlightControllerArchitectureDescriptionText,nc : TextType,A description of a flight controller's architecture.,Initial refinement completed. Pending Tiger Team review.,
flightModes,string,Common states defining options for UA behavior,flightController,FlightModeCategoryText,nc : TextType,Kind of common state defining options for Unmanned Aircraft System (UAS) behavior.,Initial refinement completed. Pending Tiger Team review.,
guidanceAndNavigation,string,"Electronic, mechanical, visual, or other assistance given to an aircraft pilot to facilitate arrival at, operation within or over, landing upon, or departure from an air landing or airdrop facility",flightControlSystem,UxSGuidanceAndNavigationText,nc : TextType,"A description of electronic, mechanical, visual, or other assistance given to an aircraft pilot to facilitate arrival at, operation within or over, landing upon, or departure from an air landing or airdrop facility.",Initial refinement completed. Pending Tiger Team review.,
navigationPeripheral,string,Individual data sources that when combined can be used to orient a UA,flightControlSystem,usmtf:NavigationalAidName,usmtf : NavigationalAidNameType,A name associated with a particular navigational aid.,Mapped to existing NIEMOpen attribute.,
flightDataLogger,string,A recording device that directly receives and records digital and analog signals representing various aircraft functions,flightControlSystem,FlightDataLoggerDescriptionText,nc : TextType,Description of a recording device that directly receives and records digital and analog signals representing various aircraft functions.,Initial refinement completed. Pending Tiger Team review.,
navigationSensors,object,"Equipment used to report position, course, and distance travelled to the UAS and/or its operator",flightControlSystem,mo:Sensor,mo : SensorType,A device which detects or measures a physical property.,Mapped to existing NIEMOpen attribute.,
sensorType,string,A code for the type of sensor.,navigationSensors,usmtf:SensorCode,usmtf : SensorCodeType,A code for the type of sensor.,Mapped to existing NIEMOpen attribute.,
gnss,string,Global navigation satellite system; Standard generic term for satellite navigation systems that provide autonomous geospatial positioning with global coverage,navigationSensors,GlobalNavigationSatelliteSystemText,nc : TextType,A description of a satellite navigation system that provides autonomous geospatial positioning with global coverage.,Initial refinement completed. Pending Tiger Team review.,
missionPayload,object,"Additional components which the UA is designed to transport under specified conditions of operation, in addition to its unladen weight",,,,,Needs to be refined by Tiger Team.,
imagerySystem,object,"A system that provides the functionality of collecting, encoding, processing, controlling, exploiting, viewing, and or storing imagery",missionPayload,UxSImagerySystem,,"A system that provides the functionality of collecting, encoding, processing, controlling, exploiting, viewing, and or storing imagery",Initial refinement completed. Pending Tiger Team review.,
camera,string,"A device to capture and record still or video, visible light, infrared, or thermal images. May be used as a payload, part of the UA navigation system, or both",imagerySystem,CameraDeviceText,nc:TextType,A description of an image capture device.,Initial refinement completed. Pending Tiger Team review.,
mount,object,The point on a UA where a component is attached or rests,imagerySystem,,,,Needs to be refined by Tiger Team.,
fixedMount,boolean,"A stationary component affixed to a UA to accommodate one or more sensors, cameras, weapons, etc.",mount,UxSFixedMountIndicator,niem-xs : Boolean,"True if the UxS has a fixed mount to accommodate one or more sensors, cameras, weapons, etc., false otherwise.",Initial refinement completed. Pending Tiger Team review.,
gimbals,string,"A mount or mounts upon which a drone's camera sits, usually allowing the camera to move alongside multiple axes by remote control design",mount,UxSGimbalText,nc : TextType,A description of a mount or mounts upon which a drone's camera sits.,Initial refinement completed. Pending Tiger Team review.,
associatedComponents,string,"Components that are part of an IED, improvised weapon system, or UAS, the tools required to produce the components, or precursors to the manufacture of IED or UAS components to include explosives.",imagerySystem,WeaponComponentAssociation,nc:AssociationType,"An association between components and an IED, improvised weapon system, or UxS.",Initial refinement completed. Pending Tiger Team review.,
weaponSystem,object,"A combination of one or more weapons with all related equipment, materials, services, personnel, and means of delivery and deployment (if applicable) required for self-sufficiency",missionPayload,usmtf:WeaponSystemText,usmtf : WeaponSystemType,A literal designation of a weapon system.,Mapped to existing NIEMOpen attribute.,
affixed,string,"Attaching a component to be used as a weapon onto the UA, such as a weapon system or IED",missionPayload,AffixedWeaponComponentText,niem-xs:string,"A description of a component attached to a UxS to be used as a weapon, such as a weapon system or IED.",Initial refinement completed. Pending Tiger Team review.,
