Original Attribute Name,Original Attribute Type,Original Attribute Definition,Parent Elements,NIEM Equivalent/Refined Attribute Name,NIEM Equivalent/Refined Attribute Type,NIEM Equivalent/ Refined Attribute Definition,Status,Comments
quantity,integer,A count of the individual units which make up an item.,"deviceInfo, casualties",nc:ItemQuantity,nc : QuantityType,A count of the individual units which make up an item.,Mapped to existing NIEMOpen attribute.,
vehicles,array,"A conveyance designed to carry an operator, passengers and/or cargo, over land.",triage,nc:Vehicle,nc : VehicleType,"A conveyance designed to carry an operator, passengers and/or cargo, over land.",Mapped to existing NIEMOpen attribute.,
vin,string,A number assigned to a specific vehicle for identification purposes.,vehicles,usmtf:VehicleIdentificationNumberText,usmtf : VehicleIdentificationNumberType,A number assigned to a specific vehicle for identification purposes.,Mapped to existing NIEMOpen attribute.,
vehicleComments,string,Notes related to a vehicle,vehicles,,,,Needs to be refined by Tiger Team.,
impactPoint,string,The location of the striking of one thing against another; location of collision,vehicles,j:CrashVehicleDamageCode,mmucc : VehicleDamageCodeType,An area of the motor vehicle that received the initial impact.,Mapped to existing NIEMOpen attribute.,
positioninConvoy,string,Position within a group of vehicles organized for the purpose of control and orderly movement with or without escort protection that moves over the same route at the same time and under one commander.,vehicles,m:Position,m : PositionType,"A geospatial position, course, heading, speed, and status of a vessel or other conveyance at a given time.",Mapped to existing NIEMOpen attribute.,
vehicleType,string,A kind of vehicle.,vehicles,usmtf:VehicleCategoryText,usmtf : VehicleCategoryType,A kind of vehicle.,Mapped to existing NIEMOpen attribute.,
status,string,A single or delimited list of document approval statuses to restrict the search results. ,vehicles,nc:Status,nc : StatusType,A state of something or someone.,Mapped to existing NIEMOpen attribute.,
subjects,array,"A list of persons, corporations, other legal entities, or organizations about which credible information exists that would cause a reasonable person to suspect the person, corporation, other legal entity, or organization may have committed a criminal offense, or otherwise make a person, corporation, legal entity, or organization the object of a criminal investigation.",triage,j:Subject,j : SubjectType,A person who is involved or suspected of being involved in an incident or criminal activity.,Mapped to existing NIEMOpen attribute.,
dateDeceased,string,A date a person died or was declared legally dead.,subjects,nc:PersonDeathDate,nc : DateType,A date a person died or was declared legally dead.,Mapped to existing NIEMOpen attribute.,
dateEnrolled,string,A date in which an individual was enrolled into a program or system.,subjects,,,,Needs to be refined by Tiger Team.,
identifier,string,A unique data string used as a key in the biometric system to name a biometric subject's identity and its associated attributes. An example of an identifier would be a passport number.,subjects,j:SubjectIdentification,nc : IdentificationType,An assigned identification that identifies a subject.,Mapped to existing NIEMOpen attribute.,
subjectType,string,A general category or classification of persons by the reason they are of interest to intelligence.,subjects,intel:SubjectCategoryCodeText,nc : TextType,A general category or classification of persons by the reason they are of interest to intelligence.,Mapped to existing NIEMOpen attribute.,
subjectMatches,string,Subjects whose identities have been accurately identified or verified.,subjects,,,,Needs to be refined by Tiger Team.,
triageComments,object,Notes related to the triage of CEM,triage,,,,Needs to be refined by Tiger Team.,
levelTwoRequirements,string,requirements for level 2 exploitation,triageComments,,,,Needs to be refined by Tiger Team.,
CemUID,string,Collected Exploitable Material Unique Identifier,"exhibits, devices, components",CemUID,niem-xs: string,A unique identifier for a piece of collected exploitable material (CEM),Initial refinement completed. Pending Tiger Team review.,
