Original Attribute Name,Original Attribute Type,Original Attribute Definition,Parent Elements,NIEM Equivalent/Refined Attribute Name,NIEM Equivalent/Refined Attribute Type,NIEM Equivalent/Refined Attribute Definition,Status,Comments
atmospherics,string,The environmental mood of an area relative to a baseline,tacticalDesign,AtmosphericsDescriptionText,nc:TextType,A description of the environmental mood of an area relative to a baseline.,Initial refinement completed. Pending Tiger Team review.,
conditionAsFound,string,"Refers to the state of readiness of a device to arm, fire, or function at the time of discover",tacticalDesign,ConditionAsFoundState,xs:string,"Description of the state of readiness of a device to arm, fire, or function at the time of discovery.",Initial refinement completed. Pending Tiger Team review.,
purposeOfDevice,object,"The intended, immediate, or direct tactical effect of an IED.",tacticalCharacterization,,,,Needs to be refined by Tiger Team.,
antiArmor,string,An IED that utilizes a directional explosive effect primarily intended to penetrate armored vehicles.,purposeOfDevice,ExplosiveDeviceAntiArmorDescriptionText,nc : TextType,A description of an  explosive device intended for penetrating armored vehicles.,Initial refinement completed. Pending Tiger Team review.,
antiVehicle,string,An IED primarily intended to damage or destroy vehicles – is not designed to penetrate a vehicle’s armor,purposeOfDevice,ExplosiveDeviceAntiVehicleCode,ExplosiveDeviceAntiVehicleCodeType,"A category of an explosive device intended to damage or destroy vehicles, but not for penetrating armored vehicles.",Initial refinement completed. Pending Tiger Team review.,
antiInfrastructure,string,"An IED primarily intended to damage or destroy physical infrastructure such as pipelines, communications towers, bridges, buildings, utility lines and/or facilities such as electrical transformers or water pump houses.",purposeOfDevice,ExplosiveDeviceAntiInfrastructureCode,ExplosiveDeviceAntiInfrastructureCodeType,A category of an  explosive device intended to damage or destroy physical infrastructure.,Initial refinement completed. Pending Tiger Team review.,
antiPersonnel,string,An IED primarily intended to kill or wound people,purposeOfDevice,ExplosiveDeviceAntiPersonnelCode,ExplosiveDeviceAntiPersonnelCodeType,A category of an explosive device intended to wound or kill people.,Initial refinement completed. Pending Tiger Team review.,
obstacleCreation,string,An IED primarily intended to create an obstacle to impede movement or channel movement into a desired location,purposeOfDevice,,,,Needs to be refined by Tiger Team.,
ttpIdentification,string,An IED primarily intended to cause a reaction by responding personnel in an effort to learn and understand actions or procedures on the scene. This knowledge is then used by the attacker to plan new attacks incorporating the lessons learned to inflict additional casualties or to avoid countermeasures. The IED need not function to serve this purpose. A suspicious package can have TTP identification as its intended outcome.,purposeOfDevice,,,,Needs to be refined by Tiger Team.,
technicalCategorization,object,A description of an IED or UAS using a hierarchical taxonomy to identify its key components. The components identified in this categorization are the elements from which technical and forensic information is recovered and exploited.,,,,,Needs to be refined by Tiger Team.,
switch,object,"A device for making, breaking, or changing a connection in an IED.",technicalCategorization,,,,Needs to be refined by Tiger Team.,
firingSwitch,boolean,The component that initiates the explosive train,switch,FiringSwitchIndicator,niem-xs : Boolean,True if the device has a component that initiates an explosive train; false otherwise.,Initial refinement completed. Pending Tiger Team review.,
