Original Attribute Name,Original Attribute Type,Original Attribute Definition,Parent Elements,NIEM Equivalent/Refined Attribute Name,NIEM Equivalent/Refined Attribute Type,NIEM Equivalent/ Refined Attribute Definition,Status,Comments
shotSize,string,"A numerical or letter(s) designation indicating the average diameter of a pellet. The Rule of 17 is
an equation that can be applied to American, numerical shot sizes to determine the average shot diameter in hundredths of an inch.",pellet,,,,Needs to be refined by Tiger Team.,
shotSpread,string,The diameter of a shot pattern.,pellet,,,,Needs to be refined by Tiger Team.,
velocity,object,The speed of a projectile at a given point along its trajectory.,projectile,nc:VelocityMeasure,nc : VelocityMeasureType,A measure of the rate of change of position along a straight line with respect to time.,Mapped to existing NIEMOpen attribute.,
instrumentalVelocity,string,The velocity of a projectile(s) that is recorded by suitable instrumentation located at a predetermined distance from the muzzle of a test barrel or a firearm.,projectile,InstrumentalVelocityMeasure,nc : VelocityMeasureType,A measure of the velocity of a projectile that is recorded by suitable instrumentation located at a predetermined distance from the muzzle of a test barrel or a firearm.,Initial refinement completed. Pending Tiger Team review.,
muzzleVelocity,string,The velocity of a projectile as it exits the muzzle of a firearm,projectile,,,,Needs to be refined by Tiger Team.,
remainingVelocity,string,The velocity of a projectile at any point of its trajectory.,projectile,,,,Needs to be refined by Tiger Team.,
strikingVelocity,string,The velocity of a projectile upon impact.,projectile,,,,Needs to be refined by Tiger Team.,
summitVelocity,string,The velocity of a projectile at the highest point of the trajectory.,projectile,,,,Needs to be refined by Tiger Team.,
terminalVelocity,string,"In small arms ballistics, it is the constant speed of a projectile after air drag and gravitation pull have reached the point where the two forces cancel each other’s effect on the projectile",projectile,,,,Needs to be refined by Tiger Team.,
extremeSpread,string,The distance between the centers of the two shots which are the farthest apart in a group of shots on a target.,firearmsIdentification,FirearmsExtremeSpreadMeasure,nc : MeasureType,A measurement of the distance between the centers of the two shots which are the farthest apart in a group of shots on a target.,Initial refinement completed. Pending Tiger Team review.,
shootingDistance,string,Distance between the muzzle of a weapon and the target,firearmsIdentification,,,,Needs to be refined by Tiger Team.,
stock,object,"The wood or plastic component(s) to which the metal parts of a firearm are attached to enable the
shooter to hold the firearm.",firearmsIdentification,,,,Needs to be refined by Tiger Team.,
stockCategory,string,Category of stock for a particular firearm,stock,,,,Needs to be refined by Tiger Team.,
stockDimensions,object,"General stock dimensions consist of the following: cast, drop at comb, drop at Monte Carlo, drop
at heel, girth, length of pull and pitch.",stock,,,,Needs to be refined by Tiger Team.,
cast,string,The lateral displacement of the centerline of the buttplate (pad) from the centerline of the bore.,stockDimensions,CastDisplacementResult,xs:string,The lateral displacement of the centerline of a firearm's buttplate or pad from the centerline of the bore.,Initial refinement completed. Pending Tiger Team review.,
drop,string,"The vertical distance from the line of sight to the comb, Monte Carlo, or heel of the stock.",stockDimensions,DropDistance,nc : MeasureType,"The vertical distance from the line of sight to the comb, Monte Carlo, or heel of the stock.",Initial refinement completed. Pending Tiger Team review.,
girth,string,The smallest circumferential dimension at the pistol grip.,stockDimensions,FirearmsGirthMeasure,nc : MeasureType,A measurement of the smallest circumferential dimension at the pistol grip.,Initial refinement completed. Pending Tiger Team review.,
lengthOfPull,string,The distance from the center of the trigger to the center of the buttplate or recoil pad.,stockDimensions,FirearmPullLengthMeasure,nc : MeasureType,A measure of the distance from the center of a firearm's trigger to the center of the buttplate or recoil pad.,Initial refinement completed. Pending Tiger Team review.,
lengthOfStock,string,The greatest dimension of the stock material.,stockDimensions,FirearmStockLengthMeasure,nc : MeasureType,A measure of the greatest dimension of a firearm's stock material.,Initial refinement completed. Pending Tiger Team review.,
shotgunPitch,string,An expression used to indicate the relationship of the bore to the plane of the buttplate (pad).,stockDimensions,,,,Needs to be refined by Tiger Team.,
subclassCharacteristics,string,Features that may be produced during manufacture that are consistent among items fabricated by the same tool in the same approximate state of wear. These features are not determined prior to manufacture and are more restrictive than class characteristics.,"firearmsIdentification, toolmarks",,,,Needs to be refined by Tiger Team.,
temperatureOfIgnition,string,"The lowest temperature to which the surface of material must be raised for the combustion of the
material to become self-sustaining.","firearmsIdentification, gunshotResidues",m:HazmatDeclarationFlashPointMeasure,nc:TemperatureMeasureType,A measure of the lowest temperature at which a hazardous material can form an ignitable mixture in air.,Mapped to existing NIEMOpen attribute.,
trigger,object,The part of a firearm mechanism that is moved manually to cause the firearm to discharge.,firearmsIdentification,,,,Needs to be refined by Tiger Team.,
triggerCategory,string,Category of trigger for a particular firearm,trigger,,,,Needs to be refined by Tiger Team.,
triggerTakeup,string,"The initial distance the trigger moves prior to sear movement. Also known as pretravel and trigger
slack.",trigger,,,,Needs to be refined by Tiger Team.,
triggerPull,string,The amount of force which must be applied to the trigger of a firearm to cause sear release,trigger,,,,Needs to be refined by Tiger Team.,
toolmarks,object,"Toolmark identification is a discipline of forensic science which has as its primary concern to
determine if a toolmark was produced by a particular tool.",firearmsIdentification,,,,Needs to be refined by Tiger Team.,
impressedToolmark,string,Information describing contour variations on the surface of an object caused by a combination of force and motion where the motion of the tool is approximately perpendicular to the plane being marked.,toolmarks,ImpressedToolmarkText,nc : TextType,"A description of contour variations on the surface of an object caused by a combination of force and motion, where the motion of the tool is approximately perpendicular to the plane being marked.",Initial refinement completed. Pending Tiger Team review.,
striatedToolmark,string,"Information describing contour variations, generally microscopic, on the surface of an object caused by a combination of force and motion where the motion of the tool is approximately parallel to the plane being marked.",toolmarks,,,,Needs to be refined by Tiger Team.,
indexMark,string,"A line on each of two mating parts which must be an extension of each other when assembled to
indicate proper alignment. Also known as draw mark, draw line, or witness mark.",toolmarks,IndexMarkText,nc : TextType,A description of a line on each of two mating parts which must be an extension of each other when assembled to indicate proper alignment. ,Initial refinement completed. Pending Tiger Team review.,
toolCategory,string,"An object used to gain mechanical advantage. Also thought of as the harder of two objects which,
when brought into contact with each other, results in the softer object being marked by the harder object.",toolmarks,j:ToolDeviceCategoryCode,ndex : ToolDeviceCategoryCodeType,A kind of tool.,Mapped to existing NIEMOpen attribute.,
testMark,string,"A striated or impressed toolmark produced by the suspect tool which is to be used in making a
comparison with the evidence mark.",toolmarks,,,,Needs to be refined by Tiger Team.,
gunshotResidues,object,"The total residues resulting from the discharge of a firearm. It includes both gunpowder and primer residues, plus metallic residues from projectiles, fouling, etc.",firearmsIdentification,GunshotResidues,,"The total residues resulting from the discharge of a firearm. It includes both gunpowder and primer residues, plus metallic residues from projectiles, fouling, etc.",Initial refinement completed. Pending Tiger Team review.,
brisance,string,A term describing the shattering power of high explosives.,gunshotResidues,BrisanceDetonationPowerMeasure,xs:MeasureType,Measure of the shattering power of high explosives.,Initial refinement completed. Pending Tiger Team review.,
